title,location,area_bucket,property_type,price,bedrooms,bathrooms,added_date,updated_date,month_posted,state,price_category
6 bedroom detached duplex for sale,"Diplomatic Zone, Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,1100000000,6,7,14/02/2026,22/02/2026,2026-02,Abuja,High
Residential land for sale,"Wasa District, Apo, Abuja",Apo,Land,3500000000,,,23/02/2026,23/02/2026,2026-02,Abuja,High
5 bedroom terraced duplex for sale,"Wuye, Abuja",Wuye,Terraced Duplex,299999999,5,5,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom semi-detached duplex for sale,"Admiralty Estate, Asokoro District, Abuja",Asokoro,Semi-Detached Duplex,350000000,4,4,23/06/2025,23/02/2026,2025-06,Abuja,High
Residential land for sale,"Behind Capital Hub, Mabushi, Abuja",Mabushi,Land,500000000,,,04/06/2025,23/02/2026,2025-06,Abuja,High
4 bedroom detached duplex for sale,"Citiscape Estate, Lokogoma District, Abuja",Lokogoma,Detached Duplex,350000000,4,4,26/01/2026,26/01/2026,2026-01,Abuja,High
4 bedroom terraced duplex for sale,"Off Judith Attah Crescent, Guzape District, Abuja",Guzape,Terraced Duplex,1500000000,4,4,28/01/2026,28/01/2026,2026-01,Abuja,High
3 bedroom flat / apartment for sale,"River Park Estate Airport Road, Lugbe District, Abuja",Lugbe,Flat,100000000,3,3,11/02/2026,11/02/2026,2026-02,Abuja,Low
Land for sale,"Chibiri, Kuje, Abuja",Kuje,Land,250000000,,,19/02/2026,19/02/2026,2026-02,Abuja,Low
Hotel / guest house for sale,"Wuse, Abuja",Wuse,Commercial Property,5000000000,,,22/01/2026,26/01/2026,2026-01,Abuja,High
4 bedroom terraced duplex for sale,"Admiralty Estate, Asokoro District, Abuja",Asokoro,Terraced Duplex,185000000,4,4,18/10/2024,23/02/2026,2024-10,Abuja,Low
Warehouse for sale,"Modern Market, Asokoro District, Abuja",Asokoro,Commercial Property,200000000,,,25/02/2025,23/02/2026,2025-02,Abuja,Low
4 bedroom semi-detached duplex for sale,"Admiralty Estate, Asokoro District, Abuja",Asokoro,Semi-Detached Duplex,220000000,4,4,23/06/2025,23/02/2026,2025-06,Abuja,Low
Residential land for sale,"Dr. Habu M. Daluwa Avenue, Jikwoyi, Abuja",Karu Axis,Land,25000000,,,23/12/2025,23/02/2026,2025-12,Abuja,Low
Residential land for sale,"Lakeview Estate, Asokoro District, Abuja",Asokoro,Land,350000000,,,02/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Jabi Main, Jabi, Abuja",Jabi,Land,1700000000,,,23/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Katampe Extension, Katampe, Abuja",Katampe,Land,700000000,,,06/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Detached Duplex,250000000,4,4,06/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Wuye, Abuja",Wuye,Terraced Duplex,300000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Before Gilmore Yard, Guzape District, Abuja",Guzape,Land,17500000,,,14/11/2024,23/02/2026,2024-11,Abuja,Low
Residential land for sale,"Karsana South, Karsana, Abuja",Karsana,Land,15000000,,,15/12/2024,23/02/2026,2024-12,Abuja,Low
2 bedroom block of flats for sale,"Wuye, Abuja",Wuye,Block Of Flats,75000000,2,,23/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"21 Road, Gwarinpa, Abuja",Gwarinpa,Detached Duplex,260000000,4,,19/02/2026,23/02/2026,2026-02,Abuja,High
3 bedroom semi-detached duplex for sale,"Games Village, Kaura, Abuja",Kaura,Semi-Detached Duplex,220000000,3,,21/02/2026,23/02/2026,2026-02,Abuja,Low
7 bedroom detached duplex for sale,"Maitama District, Abuja",Maitama,Detached Duplex,3400000000,7,7,07/01/2026,13/02/2026,2026-01,Abuja,High
Residential land for sale,"Along The Train Station Axis, Idu Industrial, Abuja",Idu,Land,8500000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"Behind Naf Valley Estate Asokoro, Asokoro District, Abuja",Asokoro,Land,12000000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"Asokoro District, Abuja",Asokoro,Land,13000000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"*goodland Phase 1 Estate Behind Dunamis/river Park Airport Road Lugbe, Lugbe District, Abuja",Lugbe,Land,13000000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Jahi, Abuja",Jahi,Terraced Duplex,250000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom semi-detached duplex for sale,"Citygate Estate, Before Godab Estate, Life Camp, Abuja",Life Camp,Semi-Detached Duplex,285000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Jahi, Abuja",Jahi,Terraced Duplex,450000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Terraced Duplex,550000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,High
Block of flats for sale,"Garki, Abuja",Garki,Block Of Flats,850000000,,,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Riverpark Estate, Airport Road, Lugbe District, Abuja",Lugbe,Terraced Duplex,200000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,Low
