title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Newly Built 4 Bedroom Terrace Duplex With Bq,lekki 1 lagos freedom way lekki lagos,Terraced,350000000,87500000,4,4,High,20/01/2026,18/02/2026,2026-01,Lagos
3 Bedroom Terraced Duplex,ikota lekki lagos,Terraced,90000000,30000000,3,3,High,17/02/2026,19/02/2026,2026-02,Lagos
5 Bedroom Detached House With Swimming Pool,ajah lagos,Detached,185000000,37000000,5,5,High,16/02/2026,19/02/2026,2026-02,Lagos
5bed Detached+2bq!!!,ikeja gra ikeja lagos,Detached,1000000000,200000000,5,6,High,24/03/2025,19/02/2026,2025-03,Lagos
3 Bedroom Terraced Duplex,"behind lagos business school, sangotedo ajah lagos",Terraced,118800000,39600000,3,3,High,24/10/2025,19/02/2026,2025-10,Lagos
3 Bedroom Duplex With Private Compound,"atlantic layout alaska, abraham adesanya estate ajah lagos",duplex,75000000,25000000,3,3,High,24/10/2025,19/02/2026,2025-10,Lagos
Luxury 4 Bedroom Terraced Duplex,"near lekki scheme2, abraham adesanya estate ajah lagos",Terraced,125000000,31250000,4,4,High,30/11/2025,19/02/2026,2025-11,Lagos
4 Bedroom Duplex,by lagos business school ajah olokonla ajah lagos,duplex,170000,42500,4,4,Low,21/12/2025,19/02/2026,2025-12,Lagos
4 Bedroom Semi Detached Duplex,ogidan sangotedo ajah lagos,Detached,150000000,37500000,4,4,High,05/01/2026,19/02/2026,2026-01,Lagos
3 Bedroom Apartment,lekki scheme 2 abraham adesanya estate ajah lagos,Flat/Apartment,80000000,26666667,3,3,High,08/01/2026,19/02/2026,2026-01,Lagos
5 Bedroom Duplex All Ensuite With 2 Bedroom Bq,parkview estate ikoyi lagos,duplex,1750000000,350000000,5,6,High,17/02/2026,18/02/2026,2026-02,Lagos
2 And 3 Bedroom Apartment,lekki scheme2 abraham adesanya estate ajah lagos,Flat/Apartment,70000000,35000000,2,2,High,08/01/2026,19/02/2026,2026-01,Lagos
Luxury 4 Bedroom Terraced Duplex,monastery road shoprite sangotedo ajah lagos,Terraced,108000000,27000000,4,4,High,09/01/2026,19/02/2026,2026-01,Lagos
3 Bedroom Terraced Duplex,atlantic nominee ajah abraham adesanya estate ajah lagos,Terraced,105000000,35000000,3,3,High,17/02/2026,19/02/2026,2026-02,Lagos
